
SMC Bar Sample						
AzV 18	-4.938\kern.1666em\mp \kern.1666em0.634	2.267\kern.1666em\pm \kern.1666em0.204	0.362\kern.1666em\pm \kern.1666em0.190	0.176\kern.1666em\pm \kern.1666em0.084	4.600\kern.1666em\pm \kern.1666em0.000	1.000\kern.1666em\pm \kern.1666em0.000
AzV 23	-5.170\kern.1666em\mp \kern.1666em0.289	2.382\kern.1666em\pm \kern.1666em0.092	0.489\kern.1666em\pm \kern.1666em0.125	0.462\kern.1666em\pm \kern.1666em0.057	4.600\kern.1666em\pm \kern.1666em0.000	1.000\kern.1666em\pm \kern.1666em0.000
AzV 214	-4.495\kern.1666em\mp \kern.1666em0.687	2.264\kern.1666em\pm \kern.1666em0.222	-0.123\kern.1666em\pm \kern.1666em0.065	-0.435\kern.1666em\pm \kern.1666em0.197	4.600\kern.1666em\pm \kern.1666em0.000	1.000\kern.1666em\pm \kern.1666em0.000
AzV 398	-5.382\kern.1666em\mp \kern.1666em0.808	2.328\kern.1666em\pm \kern.1666em0.276	0.314\kern.1666em\pm \kern.1666em0.167	0.263\kern.1666em\pm \kern.1666em0.128	4.600\kern.1666em\pm \kern.1666em0.000	1.000\kern.1666em\pm \kern.1666em0.000
Average	-4.959\kern.1666em\mp \kern.1666em0.197	2.264\kern.1666em\pm \kern.1666em0.040	0.389\kern.1666em\pm \kern.1666em0.110	0.461\kern.1666em\pm \kern.1666em0.079	4.600\kern.1666em\pm \kern.1666em0.000	1.000\kern.1666em\pm \kern.1666em0.000
SMC Wing Sample						
AzV 456	-0.856\kern.1666em\mp \kern.1666em0.246	1.038\kern.1666em\pm \kern.1666em0.074	3.215\kern.1666em\pm \kern.1666em0.439	0.107\kern.1666em\pm \kern.1666em0.038	4.703\kern.1666em\pm \kern.1666em0.018	1.212\kern.1666em\pm \kern.1666em0.019
LMC LMC2 Supershell Sample						
Sk -68\deg 140	-1.547\kern.1666em\mp \kern.1666em0.509	1.247\kern.1666em\pm \kern.1666em0.197	1.151\kern.1666em\pm \kern.1666em0.303	0.357\kern.1666em\pm \kern.1666em0.148	4.464\kern.1666em\pm \kern.1666em0.039	0.855\kern.1666em\pm \kern.1666em0.014
Sk -68\deg 155	-2.689\kern.1666em\mp \kern.1666em0.487	1.580\kern.1666em\pm \kern.1666em0.230	0.923\kern.1666em\pm \kern.1666em0.170	0.117\kern.1666em\pm \kern.1666em0.049	4.617\kern.1666em\pm \kern.1666em0.021	0.693\kern.1666em\pm \kern.1666em0.012
Sk -69\deg 228	-2.443\kern.1666em\mp \kern.1666em0.662	1.373\kern.1666em\pm \kern.1666em0.275	0.716\kern.1666em\pm \kern.1666em0.234	-0.115\kern.1666em\pm \kern.1666em0.065	4.721\kern.1666em\pm \kern.1666em0.049	0.643\kern.1666em\pm \kern.1666em0.011
